SYMBOL,EX,TIME,MID,CNT,
JPM,T,1:58:00 PM,43.49,173,
JPM,T,1:59:00 PM,43.49,265,
JPM,T,2:00:00 PM,43.49,138,
JPM,T,2:01:00 PM,43.53,461,
JPM,T,2:02:00 PM,43.54,464,
JPM,T,2:03:00 PM,43.54,418,
JPM,T,2:04:00 PM,43.54,198,
JPM,T,2:05:00 PM,43.51,545,
JPM,T,2:06:00 PM,43.50,177,
JPM,T,2:07:00 PM,43.50,136,
JPM,T,2:08:00 PM,43.50,167,
JPM,T,2:09:00 PM,43.48,351,
JPM,T,2:10:00 PM,43.42,578,
JPM,T,2:11:00 PM,43.39,703,
JPM,T,2:12:00 PM,43.36,609,
JPM,T,2:13:00 PM,43.34,681,
JPM,T,2:14:00 PM,43.33,670,
JPM,T,2:15:00 PM,43.33,405,
JPM,T,2:16:00 PM,43.35,498,
JPM,T,2:17:00 PM,43.37,341,
JPM,T,2:18:00 PM,43.34,452,
JPM,T,2:19:00 PM,43.34,180,
JPM,T,2:20:00 PM,43.33,668,
JPM,T,2:21:00 PM,43.32,184,
JPM,T,2:22:00 PM,43.30,424,
JPM,T,2:23:00 PM,43.32,429,
JPM,T,2:24:00 PM,43.35,650,
JPM,T,2:25:00 PM,43.38,445,
JPM,T,2:26:00 PM,43.38,382,
JPM,T,2:27:00 PM,43.38,139,
JPM,T,2:28:00 PM,43.39,192,
JPM,T,2:29:00 PM,43.40,282,
JPM,T,2:30:00 PM,43.38,433,
JPM,T,2:31:00 PM,43.38,346,
JPM,T,2:32:00 PM,43.38,351,
JPM,T,2:33:00 PM,43.42,432,
JPM,T,2:34:00 PM,43.45,618,
JPM,T,2:35:00 PM,43.44,278,
JPM,T,2:36:00 PM,43.44,236,
JPM,T,2:37:00 PM,43.45,317,
JPM,T,2:38:00 PM,43.48,609,
JPM,T,2:39:00 PM,43.49,323,
JPM,T,2:40:00 PM,43.49,645,
JPM,T,2:41:00 PM,43.51,412,
JPM,T,2:42:00 PM,43.50,189,
JPM,T,2:43:00 PM,43.50,196,
JPM,T,2:44:00 PM,43.51,437,
JPM,T,2:45:00 PM,43.53,358,
JPM,T,2:46:00 PM,43.58,633,
JPM,T,2:47:00 PM,43.59,285,
JPM,T,2:48:00 PM,43.59,538,
JPM,T,2:49:00 PM,43.64,716,
JPM,T,2:50:00 PM,43.65,317,
JPM,T,2:51:00 PM,43.67,665,
JPM,T,2:52:00 PM,43.68,284,
JPM,T,2:53:00 PM,43.64,761,
JPM,T,2:54:00 PM,43.64,854,
JPM,T,2:55:00 PM,43.63,435,
JPM,T,2:56:00 PM,43.60,346,
JPM,T,2:57:00 PM,43.58,213,
JPM,T,2:58:00 PM,43.58,355,
JPM,T,2:59:00 PM,43.61,547,
